ID	rbcL	matK	trnL-F	ndhF	ITS
S-30	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	T
S-31	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	F
S-32	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	F
S-33	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY
S-34	F	F	NO BLAST HIT	F	FAILED ASSEMBLY
S-35	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	T
S-36	F	NO BLAST HIT	NO BLAST HIT	F	T
S-37	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	F
S-38	F	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	FAILED ASSEMBLY
S-39	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	F
S-40	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	F
S-41	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	T
S-42	F	F	NO BLAST HIT	F	T
S-43	F	NO BLAST HIT	NO BLAST HIT	F	T
S-44	F	NO BLAST HIT	NO BLAST HIT	F	T
S-45	T	F	NO BLAST HIT	F	T
S-46	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	T
S-47	F	F	NO BLAST HIT	F	T
S-48	F	F	NO BLAST HIT	F	F
S-49	F	F	NO BLAST HIT	F	T
S-50	F	NO BLAST HIT	NO BLAST HIT	F	T
S-51	F	F	NO BLAST HIT	F	F
S-52	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	T
S-53	F	NO BLAST HIT	NO BLAST HIT	F	F
S-54	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	F
S-55	F	F	NO BLAST HIT	F	T
S-56	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	F
S-57	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	F
S-58	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	F
S-59	F	F	NO BLAST HIT	T	F
S-60	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	T
S-61	NO BLAST HIT	F	NO BLAST HIT	F	FAILED ASSEMBLY
S-62	F	F	NO BLAST HIT	F	F
S-63	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	F
S-64	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	F
S-65	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	F
S-66	F	F	NO BLAST HIT	F	FAILED ASSEMBLY
S-67	F	NO BLAST HIT	NO BLAST HIT	F	FAILED ASSEMBLY
S-68	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY
S-69	F	F	NO BLAST HIT	F	F
S-70	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY
S-71	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	T
S-72	F	F	NO BLAST HIT	F	FAILED ASSEMBLY
S-73	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	F
S-74	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	F
S-75	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	F
S-76	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	F
S-77	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	F
S-78	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY
S-79	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	F
S-80	NO BLAST HIT	F	NO BLAST HIT	F	FAILED ASSEMBLY
S-81	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-82	NO BLAST HIT	F	NO BLAST HIT	F	F
S-83	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	T
S-84	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	F
S-85	F	NO BLAST HIT	NO BLAST HIT	F	F
S-86	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	F
S-87	F	F	NO BLAST HIT	F	T
S-88	F	F	NO BLAST HIT	F	T
S-89	F	F	NO BLAST HIT	T	T
S-90	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	F
S-91	T	F	NO BLAST HIT	F	FAILED ASSEMBLY
S-92	T	NO BLAST HIT	NO BLAST HIT	T	F
S-93	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY
S-94	T	T	NO BLAST HIT	F	FAILED ASSEMBLY
S-95	T	F	NO BLAST HIT	NO BLAST HIT	FAILED ASSEMBLY
S-96	F	F	NO BLAST HIT	F	F
S-97	T	NO BLAST HIT	NO BLAST HIT	F	FAILED ASSEMBLY
S-98	T	NO BLAST HIT	NO BLAST HIT	F	FAILED ASSEMBLY
S-99	T	T	NO BLAST HIT	F	T
S-100	T	F	NO BLAST HIT	T	T
