ID	rbcL	matK	trnL-F	ndhF	ITS
S-40	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-92
S-41	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-48
S-42	S-19	S-80	NO BLAST HIT	S-34	S-48
S-43	S-96	NO BLAST HIT	NO BLAST HIT	S-24	S-48
S-44	S-59	NO BLAST HIT	NO BLAST HIT	S-6	S-50
S-45	S-42	S-34	NO BLAST HIT	S-24	S-46
S-46	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-50
S-47	S-59	S-51	NO BLAST HIT	S-92	S-48
S-48	S-13	S-51	NO BLAST HIT	S-53	S-23
S-49	S-96	S-51	NO BLAST HIT	S-34	S-44
S-50	S-59	NO BLAST HIT	NO BLAST HIT	S-27	S-48
S-51	S-96	S-34	NO BLAST HIT	S-34	S-84
S-52	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-57
S-53	S-96	NO BLAST HIT	NO BLAST HIT	S-34	S-22
S-54	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-77
S-55	S-96	S-80	NO BLAST HIT	S-34	S-58
S-56	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-20
S-57	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-26
S-58	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-22
S-59	S-13	S-34	NO BLAST HIT	S-51	S-23
S-60	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-58
S-61	NO BLAST HIT	S-51	NO BLAST HIT	S-82	NO BLAST HIT
S-62	S-19	S-34	NO BLAST HIT	S-34	S-99
S-63	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-27
S-64	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-90
S-65	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-83
S-66	S-13	S-87	NO BLAST HIT	S-80	NO BLAST HIT
S-67	S-96	NO BLAST HIT	NO BLAST HIT	S-34	NO BLAST HIT
S-68	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT
S-69	S-87	S-34	NO BLAST HIT	S-91	S-48
S-70	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT
S-71	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-76
S-72	S-96	S-34	NO BLAST HIT	S-34	NO BLAST HIT
S-73	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-83
S-74	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-63
S-75	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-23
S-76	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-23
S-77	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-63
S-78	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT
S-79	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-22
S-80	NO BLAST HIT	S-51	NO BLAST HIT	S-34	NO BLAST HIT
S-81	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-83
S-82	NO BLAST HIT	S-45	NO BLAST HIT	S-34	S-27
S-83	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-90
S-84	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-19
S-85	S-96	NO BLAST HIT	NO BLAST HIT	S-62	S-13
S-86	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-19
S-87	S-13	S-80	NO BLAST HIT	S-34	S-90
S-88	S-96	S-34	NO BLAST HIT	S-97	S-83
S-89	S-59	S-34	NO BLAST HIT	S-82	S-84
S-90	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-23
S-91	S-96	S-34	NO BLAST HIT	S-51	NO BLAST HIT
S-92	S-96	NO BLAST HIT	NO BLAST HIT	S-96	S-3
S-93	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT
S-94	S-96	S-96	NO BLAST HIT	S-19	NO BLAST HIT
S-95	S-96	S-59	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT
S-96	S-13	S-34	NO BLAST HIT	S-34	S-8
S-97	S-96	NO BLAST HIT	NO BLAST HIT	S-80	NO BLAST HIT
S-98	S-96	NO BLAST HIT	NO BLAST HIT	S-80	NO BLAST HIT
S-99	S-96	S-91	NO BLAST HIT	S-6	S-92
S-100	S-96	S-19	NO BLAST HIT	S-99	S-92
