sp	matK	rbcL	ndhF	trnL-F	ITS
C-393	C-365	C-365	C-365	C-271	C-271	
C-500	C-387	C-387	C-387	C-387	C-387	
3970	1716	1716	1703	FAIL	1716	
170	1102	69	2650	69	2650	
2693	2764	2711	2764	FAIL	2711	
2311	2909	2906	2909	2906	2272	
3676	2942	2942	2942	2942	2942	
3527	3536	3536	3536	3536	1850	
2700	2764	2764	2693	2693	FAIL	
4004	1176	1176	1176	FAIL	1176	
3980	3301	821	FAIL	FAIL	3279	
3129	FAIL	FAIL	FAIL	FAIL	1774	
1770	679	1774	1774	1774	1774	
3341	3518	3386	3342	FAIL	FAIL	
1716	FAIL	FAIL	FAIL	FAIL	1705	
3955	2764	2764	2711	FAIL	3536	
1705	3386	3600	3600	FAIL	1165	
3234	3230	3230	3230	1556	3230	
1915	821	1936	743	FAIL	743	
3935	679	2168	2168	FAIL	1774	
3301	3279	3279	3279	FAIL	3980	
3230	3234	3386	3234	3384	1556	
2168	679	2831	2831	FAIL	679	
3729	FAIL	3444	1740	FAIL	1740	
2831	679	1770	2168	FAIL	679	
1739	1740	1740	1740	FAIL	1740	
1182	3679	3679	3121	3680	3680	
1502	3121	3121	3121	3121	3121	
1531	3518	1534	3338	3518	3518	
777	3431	1525	3431	3431	3431	
845	777	FAIL	944	FAIL	3980	
533	FAIL	3594	2985	FAIL	3980	
3448	3316	3316	654	FAIL	654	
679	2168	1770	2831	FAIL	2831	
3211	176	1102	168	69	2650	
2763	2764	2711	2711	2700	2711	
3231	3386	3342	3235	3386	3386	
3316	3448	3448	654	FAIL	654	
3423	944	3676	3676	2942	3129	
3349	3211	69	170	FAIL	3545	
1165	FAIL	FAIL	FAIL	FAIL	3600	
2794	FAIL	FAIL	FAIL	FAIL	2711	
3386	3231	3231	3231	3231	3231	
3384	3386	3234	3235	FAIL	3230	
3345	710	2798	2798	FAIL	2711	
3679	3680	3680	3680	3680	3680	
3342	3340	2065	3235	3341	3340	
1661	1382	1382	1386	1386	1382	
3518	FAIL	777	1703	FAIL	1531	
1386	1382	1661	1661	1661	1661	
C-414	C-303	C-48	C-303	FAIL	C-303	
3444	1740	3729	3729	FAIL	1739	
3594	3353	3353	3353	3353	1162	
2272	2906	2909	2909	FAIL	2279	
3220	3301	3609	777	FAIL	FAIL	
3353	3594	3594	3594	3594	3594	
270	1324	1324	1661	1386	1382	
1774	1770	1770	1770	1770	1770	
3447	3316	3316	3448	FAIL	3316	
3600	777	3640	1165	FAIL	FAIL	
3680	3679	1182	3679	3679	3679	
1740	1739	1739	1739	FAIL	1739	
1382	1386	1661	1386	FAIL	270	
3595	777	777	1538	FAIL	777	
1556	3234	3230	3234	3386	3230	
644	1543	1540	1538	S-90	FAIL	
1324	270	270	270	270	270	
706	3356	3356	596	596	3356	
654	FAIL	FAIL	FAIL	FAIL	3316	
176	3211	69	3211	3211	2650	
3431	1525	777	1525	1525	1525	
3121	1502	1502	1502	1502	3680	
2065	3340	1936	743	FAIL	1936	
3609	1240	FAIL	FAIL	FAIL	S-17	
1534	3518	1531	3518	3518	FAIL	
3122	1176	1174	1174	3386	1174	
710	3345	3345	3345	3955	FAIL	
1717	1582	2647	2647	1582	FAIL	
655	3349	3349	3349	FAIL	3349	
2942	3676	3676	3676	3676	3676	
174	4004	4004	1089	FAIL	3122	
2909	2279	2272	2279	2279	2272	
682	3966	3966	3966	3452	3357	
3452	3966	3966	3966	3966	3966	
2907	2909	2311	2311	2906	2272	
1240	S-40	3423	1939	FAIL	1939	
3340	3342	3342	3235	3386	3342	
1936	3341	2065	743	FAIL	2065	
3356	596	706	706	FAIL	706	
2827	FAIL	FAIL	1770	FAIL	679	
69	1102	1102	2650	1102	1102	
743	3340	1936	821	3386	1915	
1570	2100	1702	2100	FAIL	1610	
1905	3606	644	3606	FAIL	3606	
747	3353	3353	3594	FAIL	3594	
2798	3345	3345	3345	FAIL	FAIL	
3640	1610	1610	1610	FAIL	1570	
3013	1850	1850	2960	FAIL	3527	
2985	FAIL	FAIL	FAIL	FAIL	3345	
2100	1702	1702	1699	1699	1702	
1939	1240	1240	1240	1860	3606	
944	644	3423	3431	S-6	FAIL	
3235	679	3935	2168	FAIL	679	
746	1678	1678	1678	FAIL	1678	
1877	1860	1860	706	FAIL	1944	
1845	1860	1860	1860	FAIL	1860	
2650	1102	69	69	69	1102	
1702	2100	1679	2100	1699	1699	
1285	3340	3342	3235	3340	3342	
2906	2272	2279	2909	2909	2272	
1162	3353	3353	3594	3594	3594	
1853	1860	1845	1860	1860	1860	
1699	2100	2100	2100	1702	1702	
1314	2657	2657	2657	2657	1503	
2647	1582	1653	1717	1653	FAIL	
1874	3536	1850	3536	3536	1946	
1653	2647	2647	2647	2647	FAIL	
1590	1543	1543	644	FAIL	644	
1678	1677	1677	746	1677	618	
168	1102	3211	170	3211	2650	
1676	1678	618	746	1678	618	
1703	2100	1679	1702	1679	1702	
1928	3966	682	682	682	3357	
821	743	1936	743	3386	1915	
