sp	matK	rbcL	ndhF	trnL-F	ITS	Concatenated_phylogeny
3230@Malpighia	3234@Malpighia	3386@Malpighia	3234@Malpighia	3384@Malpighia	1556@Malpighia	Malpighia
3231@Malpighia	3386@Malpighia	3342@Aspidopterys	3235@Malpighia	3386@Malpighia	3386@Malpighia	Malpighia
3234@Malpighia	3230@Malpighia	3230@Malpighia	3230@Malpighia	1556@Malpighia	3230@Malpighia	Malpighia
3235@Bunchosia	679@Bunchosia	3935@Bunchosia	2168@Bunchosia	FAIL	679@Bunchosia	Bunchosia
3279@Heteropterys	3301@Heteropterys	3301@Heteropterys	3431@Christianella	3301@Heteropterys	3980@Heteropterys	Heteropterys
3301@Heteropterys	3279@Heteropterys	3279@Heteropterys	3279@Heteropterys	FAIL	3980@Heteropterys	Heteropterys
3316@Acmanthera	3448@Acmanthera	3448@Acmanthera	654@Acmanthera	FAIL	654@Acmanthera	Acmanthera
3338@Amorimia	1531@Amorimia	3518@Amorimia	3518@Amorimia	3518@Amorimia	1531@Amorimia	Amorimia
3340@Aspidopterys	3342@Aspidopterys	3342@Aspidopterys	3235@Malpighia	3386@Malpighia	3342@Aspidopterys	Aspidopterys
3341@Aspidopterys	3518@Amorimia	3386@Malpighia	3342@Aspidopterys	FAIL	FAIL	Aspidopterys
3342@Aspidopterys	3340@Aspidopterys	2065@Mascagnia	3235@Malpighia	3341@Aspidopterys	3340@Aspidopterys	Aspidopterys
3345@Blepharandra	710@Blepharandra	2798@Blepharandra	2798@Blepharandra	FAIL	2711@Byrsonima	Blepharandra
3349@Burdachia	3211@Acridocarpus	69@Acridocarpus	170@Acridocarpus	FAIL	3545@Burdachia	Burdachia
3353@Camarea	3594@Camarea	3594@Camarea	3594@Camarea	3594@Camarea	3594@Camarea	Camarea
3356@Cottsia	596@Cottsia	706@Cottsia	706@Cottsia	FAIL	706@Cottsia	Cottsia
3384@Malpighia	3386@Malpighia	3234@Malpighia	3235@Malpighia	FAIL	3230@Malpighia	Malpighia
3386@Malpighia	3231@Malpighia	3231@Malpighia	3231@Malpighia	3231@Malpighia	3231@Malpighia	Malpighia
3419@Tetrapterys	3423@Tetrapterys	3676@Tetrapterys	3676@Tetrapterys	777@Christianella	1531@Amorimia	Tetrapterys
3423@Tetrapterys	944@Tetrapterys	3676@Tetrapterys	3676@Tetrapterys	2942@Tetrapterys	3129@Tetrapterys	Tetrapterys
3431@Christianella	1525@Christianella	777@Christianella	1525@Christianella	1525@Christianella	1525@Christianella	Christianella
3444@Thryallis	1740@Thryallis	3729@Thryallis	3729@Thryallis	FAIL	1739@Thryallis	Thryallis
3447@Acmanthera	3316@Acmanthera	3316@Acmanthera	3448@Acmanthera	FAIL	3316@Acmanthera	Acmanthera
3448@Acmanthera	3316@Acmanthera	3316@Acmanthera	654@Acmanthera	FAIL	654@Acmanthera	Acmanthera
3452@Diacidia	3966@Diacidia	3966@Diacidia	3966@Diacidia	3966@Diacidia	3966@Diacidia	Diacidia
3518@Amorimia	FAIL	777@Christianella	1703@Callaeum	FAIL	1531@Amorimia	Amorimia
3527@Banisteriopsis	3536@Banisteriopsis	3536@Banisteriopsis	3536@Banisteriopsis	3536@Banisteriopsis	1850@Banisteriopsis	Banisteriopsis
3536@Banisteriopsis	3527@Banisteriopsis	3527@Banisteriopsis	3527@Banisteriopsis	FAIL	3527@Banisteriopsis	Banisteriopsis
3545@Burdachia	FAIL	FAIL	FAIL	FAIL	3349@Burdachia	Burdachia
3594@Camarea	3353@Camarea	3353@Camarea	3353@Camarea	3353@Camarea	1162@Camarea	Camarea
3595@Christianella	777@Christianella	777@Christianella	1538@Carolus	FAIL	777@Christianella	Christianella
3600@Dicella	777@Christianella	3640@Malpighiodes	1165@Dicella	FAIL	FAIL	Dicella
3606@Diplopterys	S-80	1939@Diplopterys	679@Bunchosia	FAIL	1905@Diplopterys	Diplopterys
3609@Diplopterys	1240@Diplopterys	FAIL	FAIL	FAIL	S-17	Diplopterys
3640@Malpighiodes	1610@Malpighiodes	1610@Malpighiodes	1610@Malpighiodes	FAIL	1570@Malpighiodes	Malpighiodes
3676@Tetrapterys	2942@Tetrapterys	2942@Tetrapterys	2942@Tetrapterys	2942@Tetrapterys	2942@Tetrapterys	Tetrapterys
3679@Tristellateia	3680@Tristellateia	3680@Tristellateia	3680@Tristellateia	3680@Tristellateia	3680@Tristellateia	Tristellateia
3680@Tristellateia	3679@Tristellateia	1182@Tristellateia	3679@Tristellateia	3679@Tristellateia	3679@Tristellateia	Tristellateia
3729@Thryallis	FAIL	3444@Thryallis	1740@Thryallis	FAIL	1740@Thryallis	Thryallis
3935@Bunchosia	679@Bunchosia	2168@Bunchosia	2168@Bunchosia	FAIL	1774@Bunchosia	Bunchosia
3955@Byrsonima	2764@Byrsonima	2764@Byrsonima	2711@Byrsonima	FAIL	3536@Banisteriopsis	Byrsonima
3966@Diacidia	3452@Diacidia	3452@Diacidia	682@Diacidia	3452@Diacidia	3452@Diacidia	Diacidia
3970@Dicella	1716@Dicella	1716@Dicella	1703@Callaeum	FAIL	1716@Dicella	Dicella
3980@Heteropterys	3301@Heteropterys	821@Mascagnia	FAIL	FAIL	3279@Heteropterys	Heteropterys
4004@Triaspis	1176@Triaspis	1176@Triaspis	1176@Triaspis	FAIL	1176@Triaspis	Triaspis
533@Heteropterys	FAIL	3594@Camarea	2985@Heteropterys	FAIL	3980@Heteropterys	Heteropterys
644@Carolus	1543@Carolus	1540@Carolus	1538@Carolus	S-90	FAIL	Carolus
654@Acmanthera	FAIL	FAIL	FAIL	FAIL	3316@Acmanthera	Acmanthera
655@Burdachia	3349@Burdachia	3349@Burdachia	3349@Burdachia	FAIL	3349@Burdachia	Burdachia
679@Bunchosia	2168@Bunchosia	1770@Bunchosia	2831@Bunchosia	FAIL	2831@Bunchosia	Bunchosia
682@Diacidia	3966@Diacidia	3966@Diacidia	3966@Diacidia	3452@Diacidia	3357@Diacidia	Diacidia
69@Acridocarpus	1102@Acridocarpus	1102@Acridocarpus	2650@Acridocarpus	1102@Acridocarpus	1102@Acridocarpus	Acridocarpus
706@Cottsia	3356@Cottsia	3356@Cottsia	596@Cottsia	596@Cottsia	3356@Cottsia	Cottsia
710@Blepharandra	3345@Blepharandra	3345@Blepharandra	3345@Blepharandra	3955@Byrsonima	FAIL	Blepharandra
743@Mascagnia	3340@Aspidopterys	1936@Mascagnia	821@Mascagnia	3386@Malpighia	1915@Mascagnia	Mascagnia
746@Aspicarpa	1678@Aspicarpa	1678@Aspicarpa	1678@Aspicarpa	FAIL	1678@Aspicarpa	Aspicarpa
747@Camarea	3353@Camarea	3353@Camarea	3594@Camarea	FAIL	3594@Camarea	Camarea
777@Christianella	3431@Christianella	1525@Christianella	3431@Christianella	3431@Christianella	3431@Christianella	Christianella
821@Mascagnia	743@Mascagnia	1936@Mascagnia	743@Mascagnia	3386@Malpighia	1915@Mascagnia	Mascagnia
845@Heteropterys	777@Christianella	FAIL	944@Tetrapterys	FAIL	3980@Heteropterys	Heteropterys
944@Tetrapterys	644@Carolus	3423@Tetrapterys	3431@Christianella	S-6	FAIL	Tetrapterys
C-127	C-296	C-296	C-129	C-129	C-296	
C-129	C-127	C-127	C-127	C-127	C-127	
C-130	C-48	C-303	C-303	C-181	C-414	
C-136	C-21	C-21	C-21	C-263	C-21	
C-17	C-86	C-86	C-313	C-69	C-69	
C-181	C-48	C-48	C-48	C-365	C-48	
C-21	C-136	C-136	C-136	C-342	C-136	
C-227	C-40	C-40	C-40	C-280	C-40	
C-239	C-387	C-387	C-387	C-387	C-387	
C-251	C-32	C-40	C-40	FAIL	C-259	
C-259	C-40	C-40	C-40	C-40	C-32	
C-263	C-64	C-136	C-265	C-265	C-64	
C-265	C-263	C-263	C-263	C-263	C-414	
C-271	C-365	C-393	C-365	C-365	C-393	
C-280	C-86	C-86	C-86	C-86	C-69	
C-296	C-127	C-127	C-127	C-127	C-127	
C-303	C-48	C-263	C-130	C-40	C-414	
C-313	C-86	C-86	C-17	C-17	C-69	
C-32	C-40	C-251	C-40	C-40	C-259	
C-342	C-136	C-136	C-136	C-21	C-21	
C-365	C-393	C-393	C-271	C-271	C-393	
C-387	C-500	C-239	C-500	C-239	C-239	
C-393	C-365	C-365	C-365	C-271	C-271	
C-40	C-259	C-251	C-259	C-259	C-259	
C-414	C-303	C-48	C-303	FAIL	C-303	
C-48	C-181	C-181	C-181	C-130	C-181	
C-500	C-387	C-387	C-387	C-387	C-387	
C-64	C-263	C-263	C-265	C-265	C-414	
C-69	C-86	C-86	C-17	C-17	C-17	
C-86	C-313	C-17	C-69	C-313	C-69	
FAIL_count	14	13	12	67	12	0
