sp	matK	rbcL	ndhF	trnL-F	ITS	Concatenated_phylogeny
3129@Bunchosia	1774@Bunchosia	679@Bunchosia	1774@Bunchosia	1770@Bunchosia	1774@Bunchosia	Bunchosia
3211@Acridocarpus	176@Acridocarpus	69@Acridocarpus	168@Acridocarpus	69@Acridocarpus	2650@Acridocarpus	Acridocarpus
3220@Heteropterys	3301@Heteropterys	1702@Callaeum	1590@Carolus	FAIL	845@Heteropterys	Heteropterys
3230@Malpighia	3234@Malpighia	3386@Malpighia	3234@Malpighia	3384@Malpighia	3234@Malpighia	Malpighia
3231@Malpighia	3386@Malpighia	3230@Malpighia	3235@Malpighia	3386@Malpighia	3386@Malpighia	Malpighia
3234@Malpighia	3230@Malpighia	3230@Malpighia	3230@Malpighia	3386@Malpighia	3230@Malpighia	Malpighia
3279@Heteropterys	3301@Heteropterys	3301@Heteropterys	3431@Christianella	3301@Heteropterys	3980@Heteropterys	Heteropterys
3301@Heteropterys	3279@Heteropterys	3279@Heteropterys	3279@Heteropterys	3279@Heteropterys	3980@Heteropterys	Heteropterys
3316@Acmanthera	3448@Acmanthera	3448@Acmanthera	654@Acmanthera	FAIL	654@Acmanthera	Acmanthera
3338@Amorimia	1531@Amorimia	3518@Amorimia	3518@Amorimia	3518@Amorimia	1531@Amorimia	Amorimia
3341@Aspidopterys	3342@Aspidopterys	3231@Malpighia	3342@Aspidopterys	FAIL	3342@Aspidopterys	Aspidopterys
3342@Aspidopterys	3340@Aspidopterys	3340@Aspidopterys	3235@Malpighia	3341@Aspidopterys	3340@Aspidopterys	Aspidopterys
3345@Blepharandra	710@Blepharandra	2798@Blepharandra	710@Blepharandra	FAIL	2711@Byrsonima	Blepharandra
3349@Burdachia	3211@Acridocarpus	655@Burdachia	3211@Acridocarpus	3211@Acridocarpus	3545@Burdachia	Burdachia
3353@Camarea	3594@Camarea	3594@Camarea	3594@Camarea	3594@Camarea	3594@Camarea	Camarea
3384@Malpighia	3386@Malpighia	3230@Malpighia	3234@Malpighia	3386@Malpighia	3230@Malpighia	Malpighia
3386@Malpighia	3231@Malpighia	3230@Malpighia	3231@Malpighia	3231@Malpighia	3231@Malpighia	Malpighia
3419@Tetrapterys	3423@Tetrapterys	3676@Tetrapterys	3676@Tetrapterys	777@Christianella	1531@Amorimia	Tetrapterys
3423@Tetrapterys	944@Tetrapterys	3676@Tetrapterys	3676@Tetrapterys	2942@Tetrapterys	3129@Tetrapterys	Tetrapterys
3444@Thryallis	1740@Thryallis	3729@Thryallis	1740@Thryallis	FAIL	1739@Thryallis	Thryallis
3448@Acmanthera	3316@Acmanthera	3316@Acmanthera	654@Acmanthera	FAIL	654@Acmanthera	Acmanthera
3518@Amorimia	1534@Amorimia	3338@Amorimia	1534@Amorimia	FAIL	1531@Amorimia	Amorimia
3527@Banisteriopsis	3536@Banisteriopsis	3536@Banisteriopsis	3536@Banisteriopsis	3536@Banisteriopsis	1850@Banisteriopsis	Banisteriopsis
3536@Banisteriopsis	3527@Banisteriopsis	3527@Banisteriopsis	3527@Banisteriopsis	3527@Banisteriopsis	3527@Banisteriopsis	Banisteriopsis
3545@Burdachia	3349@Burdachia	3349@Burdachia	FAIL	FAIL	3349@Burdachia	Burdachia
3594@Camarea	3353@Camarea	3353@Camarea	3353@Camarea	3353@Camarea	1162@Camarea	Camarea
3606@Diplopterys	S-59	777@Christianella	1860@Bronwenia	FAIL	1905@Diplopterys	Diplopterys
3676@Tetrapterys	2942@Tetrapterys	2942@Tetrapterys	2942@Tetrapterys	2942@Tetrapterys	2942@Tetrapterys	Tetrapterys
3679@Tristellateia	3680@Tristellateia	3680@Tristellateia	3680@Tristellateia	3680@Tristellateia	3680@Tristellateia	Tristellateia
3729@Thryallis	1740@Thryallis	3444@Thryallis	1740@Thryallis	FAIL	1740@Thryallis	Thryallis
3935@Bunchosia	679@Bunchosia	2831@Bunchosia	2168@Bunchosia	1740@Thryallis	679@Bunchosia	Bunchosia
3955@Byrsonima	2764@Byrsonima	2764@Byrsonima	2700@Byrsonima	2700@Byrsonima	3536@Banisteriopsis	Byrsonima
3966@Diacidia	3452@Diacidia	3452@Diacidia	682@Diacidia	3452@Diacidia	3357@Diacidia	Diacidia
3970@Dicella	FAIL	1716@Dicella	1703@Callaeum	FAIL	1716@Dicella	Dicella
3980@Heteropterys	3301@Heteropterys	821@Mascagnia	679@Bunchosia	FAIL	3279@Heteropterys	Heteropterys
4004@Triaspis	1176@Triaspis	1176@Triaspis	1176@Triaspis	FAIL	1176@Triaspis	Triaspis
533@Heteropterys	2657@Hiptage	821@Mascagnia	3375@Hiptage	FAIL	3980@Heteropterys	Heteropterys
679@Bunchosia	2168@Bunchosia	1770@Bunchosia	2168@Bunchosia	1770@Bunchosia	FAIL	Bunchosia
777@Christianella	3431@Christianella	3431@Christianella	3431@Christianella	3431@Christianella	3431@Christianella	Christianella
845@Heteropterys	FAIL	3220@Heteropterys	1703@Callaeum	FAIL	3980@Heteropterys	Heteropterys
C-127	C-296	C-296	C-129	C-129	C-296	
C-129	C-127	C-127	C-127	C-127	C-127	
C-130	C-48	C-303	C-303	C-181	C-414	
C-136	C-21	C-21	C-21	C-263	C-21	
C-17	C-86	C-86	C-313	C-69	C-69	
C-181	C-48	C-48	C-48	C-365	C-48	
C-21	C-136	C-136	C-136	C-342	C-136	
C-227	C-40	C-40	C-40	C-40	C-40	
C-239	C-387	C-387	C-387	C-387	C-387	
C-251	C-32	C-40	C-40	C-313	C-259	
C-259	C-40	C-40	C-40	C-40	C-32	
C-263	C-64	C-136	C-265	C-21	C-64	
C-265	C-263	C-263	C-263	C-263	C-414	
C-271	C-365	C-393	C-365	C-365	C-393	
C-280	C-86	C-86	C-86	C-86	C-69	
C-296	C-127	C-127	C-127	C-127	C-127	
C-303	C-48	C-130	C-130	C-40	C-414	
C-313	C-86	C-86	C-17	C-17	C-69	
C-32	C-40	C-251	C-40	C-40	C-259	
C-342	C-136	C-136	C-136	C-21	C-21	
C-365	C-393	C-393	C-271	C-271	C-393	
C-387	C-500	C-239	C-500	C-239	C-239	
C-393	C-365	C-271	C-365	C-271	C-271	
C-40	C-259	C-251	C-259	C-259	C-259	
C-414	C-303	C-303	C-303	FAIL	C-303	
C-48	C-181	C-181	C-181	C-130	C-181	
C-500	C-387	C-239	C-387	C-387	C-387	
C-64	C-263	C-263	C-265	C-263	C-414	
C-69	C-86	C-86	C-17	C-17	C-17	
C-86	C-313	C-17	C-17	C-313	C-69	
FAIL_counts	3	1	2	25	1	0
