sp	matK	rbcL	ndhF	trnL-F	ITS
170@Acridocarpus	1102@Acridocarpus	69@Acridocarpus	2650@Acridocarpus	69@Acridocarpus	2650@Acridocarpus
2693@Byrsonima	2764@Byrsonima	FAIL	2764@Byrsonima	FAIL	2711@Byrsonima
2311@Elatine	2909@Elatine	2909@Elatine	2909@Elatine	FAIL	2272@Elatine
3676@Tetrapterys	2942@Tetrapterys	2942@Tetrapterys	2942@Tetrapterys	2942@Tetrapterys	2942@Tetrapterys
3527@Banisteriopsis	3536@Banisteriopsis	3536@Banisteriopsis	3536@Banisteriopsis	FAIL	FAIL
2700@Byrsonima	2764@Byrsonima	2711@Byrsonima	2693@Byrsonima	3955@Byrsonima	2711@Byrsonima
4004@Triaspis	1176@Triaspis	821@Mascagnia	174@Triaspis	FAIL	1176@Triaspis
3980@Heteropterys	FAIL	FAIL	FAIL	FAIL	3279@Heteropterys
3129@Tetrapterys	FAIL	FAIL	FAIL	FAIL	FAIL
1770@Bunchosia	679@Bunchosia	2831@Bunchosia	679@Bunchosia	FAIL	1774@Bunchosia
3341@Aspidopterys	FAIL	FAIL	FAIL	FAIL	FAIL
1716@Dicella	FAIL	FAIL	FAIL	FAIL	1705@Dicella
3955@Byrsonima	2764@Byrsonima	2764@Byrsonima	2711@Byrsonima	FAIL	3536@Banisteriopsis
1705@Dicella	FAIL	777@Christianella	FAIL	FAIL	3600@Dicella
3234@Malpighia	3230@Malpighia	3230@Malpighia	3230@Malpighia	1556@Malpighia	3230@Malpighia
1915@Mascagnia	3342@Aspidopterys	3342@Aspidopterys	821@Mascagnia	FAIL	743@Mascagnia
3935@Bunchosia	679@Bunchosia	2168@Bunchosia	2831@Bunchosia	FAIL	FAIL
3301@Heteropterys	3279@Heteropterys	3279@Heteropterys	3279@Heteropterys	FAIL	3980@Heteropterys
3230@Malpighia	3234@Malpighia	3234@Malpighia	3234@Malpighia	3384@Malpighia	FAIL
2168@Bunchosia	679@Bunchosia	1770@Bunchosia	2831@Bunchosia	FAIL	679@Bunchosia
3729@Thryallis	FAIL	FAIL	FAIL	FAIL	FAIL
2831@Bunchosia	679@Bunchosia	679@Bunchosia	1703@Callaeum	FAIL	679@Bunchosia
1739@Thryallis	FAIL	FAIL	FAIL	FAIL	FAIL
1182@Tristellateia	FAIL	FAIL	FAIL	FAIL	FAIL
1502@Tristellateia	3121@Tristellateia	3121@Tristellateia	3121@Tristellateia	3121@Tristellateia	3121@Tristellateia
1531@Amorimia	3518@Amorimia	1534@Amorimia	3338@Amorimia	FAIL	3518@Amorimia
777@Christianella	3431@Christianella	3431@Christianella	3431@Christianella	FAIL	3431@Christianella
845@Heteropterys	FAIL	FAIL	FAIL	FAIL	3980@Heteropterys
533@Heteropterys	FAIL	FAIL	3375@Hiptage	FAIL	3980@Heteropterys
3448@Acmanthera	FAIL	FAIL	FAIL	FAIL	FAIL
679@Bunchosia	FAIL	FAIL	FAIL	FAIL	FAIL
3211@Acridocarpus	176@Acridocarpus	69@Acridocarpus	168@Acridocarpus	69@Acridocarpus	2650@Acridocarpus
2763@Byrsonima	2764@Byrsonima	2711@Byrsonima	2711@Byrsonima	FAIL	2711@Byrsonima
3231@Malpighia	3386@Malpighia	3386@Malpighia	4004@Triaspis	FAIL	3386@Malpighia
3316@Acmanthera	FAIL	FAIL	FAIL	FAIL	FAIL
3423@Tetrapterys	944@Tetrapterys	944@Tetrapterys	3676@Tetrapterys	FAIL	3129@Tetrapterys
3349@Burdachia	3211@Acridocarpus	655@Burdachia	655@Burdachia	FAIL	3545@Burdachia
1165@Dicella	FAIL	FAIL	FAIL	FAIL	3600@Dicella
2794@Byrsonima	FAIL	FAIL	FAIL	FAIL	2711@Byrsonima
3386@Malpighia	270@Microsteira	FAIL	3384@Malpighia	FAIL	3231@Malpighia
3384@Malpighia	FAIL	FAIL	FAIL	FAIL	3230@Malpighia
3345@Blepharandra	FAIL	FAIL	FAIL	FAIL	2711@Byrsonima
3679@Tristellateia	3680@Tristellateia	3680@Tristellateia	3680@Tristellateia	FAIL	3680@Tristellateia
3342@Aspidopterys	3122@Triaspis	3519@Aspidopterys	3235@Malpighia	3341@Aspidopterys	3340@Aspidopterys
1661@Microsteira	1386@Microsteira	1382@Microsteira	1386@Microsteira	1386@Microsteira	1382@Microsteira
3518@Amorimia	FAIL	FAIL	3640@Malpighiodes	FAIL	1531@Amorimia
1386@Microsteira	1382@Microsteira	1661@Microsteira	1661@Microsteira	1661@Microsteira	1382@Microsteira
C-414	C-303	C-303	C-303	FAIL	C-303
3444@Thryallis	FAIL	3729@Thryallis	FAIL	FAIL	FAIL
3594@Camarea	3353@Camarea	747@Camarea	706@Cottsia	FAIL	1162@Camarea
2272@Elatine	2906@Elatine	2909@Elatine	2909@Elatine	FAIL	2279@Elatine
3220@Heteropterys	2100@Callaeum	3609@Diplopterys	2985@Heteropterys	FAIL	FAIL
3353@Camarea	3594@Camarea	747@Camarea	3594@Camarea	FAIL	1162@Camarea
270@Microsteira	1382@Microsteira	821@Mascagnia	1661@Microsteira	1386@Microsteira	1382@Microsteira
1774@Bunchosia	1770@Bunchosia	1770@Bunchosia	1770@Bunchosia	FAIL	1770@Bunchosia
3447@Acmanthera	3316@Acmanthera	3448@Acmanthera	654@Acmanthera	FAIL	FAIL
3600@Dicella	1705@Dicella	FAIL	FAIL	FAIL	1165@Dicella
3680@Tristellateia	3679@Tristellateia	3679@Tristellateia	3121@Tristellateia	3679@Tristellateia	3679@Tristellateia
1740@Thryallis	1739@Thryallis	679@Bunchosia	1739@Thryallis	FAIL	3729@Thryallis
1382@Microsteira	1324@Microsteira	1661@Microsteira	1386@Microsteira	FAIL	270@Microsteira
3595@Christianella	777@Christianella	743@Mascagnia	944@Tetrapterys	FAIL	777@Christianella
1556@Malpighia	3234@Malpighia	3230@Malpighia	3234@Malpighia	3386@Malpighia	3230@Malpighia
644@Carolus	1590@Carolus	1540@Carolus	777@Christianella	FAIL	1590@Carolus
1324@Microsteira	FAIL	FAIL	FAIL	FAIL	FAIL
706@Cottsia	FAIL	FAIL	FAIL	FAIL	FAIL
654@Acmanthera	FAIL	FAIL	FAIL	FAIL	FAIL
176@Acridocarpus	3211@Acridocarpus	69@Acridocarpus	3211@Acridocarpus	3211@Acridocarpus	2650@Acridocarpus
3431@Christianella	1525@Christianella	777@Christianella	1525@Christianella	1525@Christianella	1525@Christianella
3121@Tristellateia	1502@Tristellateia	1502@Tristellateia	1502@Tristellateia	1502@Tristellateia	3680@Tristellateia
2065@Mascagnia	743@Mascagnia	1936@Mascagnia	743@Mascagnia	FAIL	1936@Mascagnia
3609@Diplopterys	FAIL	FAIL	1939@Diplopterys	FAIL	FAIL
1534@Amorimia	3518@Amorimia	1531@Amorimia	3518@Amorimia	FAIL	3518@Amorimia
3122@Triaspis	1176@Triaspis	1174@Triaspis	1174@Triaspis	FAIL	1174@Triaspis
710@Blepharandra	3345@Blepharandra	3345@Blepharandra	3345@Blepharandra	FAIL	FAIL
1717@Galphimia	2647@Galphimia	2985@Heteropterys	2647@Galphimia	C-86	FAIL
655@Burdachia	FAIL	FAIL	FAIL	FAIL	FAIL
2942@Tetrapterys	3423@Tetrapterys	3676@Tetrapterys	3676@Tetrapterys	FAIL	3676@Tetrapterys
174@Triaspis	FAIL	FAIL	FAIL	FAIL	FAIL
2909@Elatine	2279@Elatine	2906@Elatine	2906@Elatine	2279@Elatine	2272@Elatine
682@Diacidia	3966@Diacidia	3966@Diacidia	3966@Diacidia	FAIL	3357@Diacidia
3452@Diacidia	3966@Diacidia	3966@Diacidia	3966@Diacidia	FAIL	FAIL
2907@Elatine	2311@Elatine	2909@Elatine	2909@Elatine	FAIL	2272@Elatine
1240@Diplopterys	FAIL	FAIL	FAIL	FAIL	3527@Banisteriopsis
3340@Aspidopterys	3342@Aspidopterys	3342@Aspidopterys	4004@Triaspis	FAIL	3342@Aspidopterys
1936@Mascagnia	3342@Aspidopterys	3230@Malpighia	743@Mascagnia	FAIL	2065@Mascagnia
3356@Cottsia	596@Cottsia	706@Cottsia	706@Cottsia	FAIL	706@Cottsia
2827@Bunchosia	FAIL	FAIL	FAIL	FAIL	FAIL
69@Acridocarpus	1102@Acridocarpus	1102@Acridocarpus	2650@Acridocarpus	1102@Acridocarpus	1102@Acridocarpus
743@Mascagnia	3340@Aspidopterys	3342@Aspidopterys	821@Mascagnia	FAIL	1915@Mascagnia
1570@Malpighiodes	FAIL	FAIL	FAIL	FAIL	FAIL
1905@Diplopterys	FAIL	FAIL	FAIL	FAIL	3606@Diplopterys
747@Camarea	3594@Camarea	3594@Camarea	3594@Camarea	FAIL	3594@Camarea
2798@Blepharandra	3345@Blepharandra	3345@Blepharandra	3345@Blepharandra	FAIL	3345@Blepharandra
3640@Malpighiodes	1610@Malpighiodes	1610@Malpighiodes	1703@Callaeum	FAIL	1570@Malpighiodes
3013@Banisteriopsis	FAIL	FAIL	FAIL	FAIL	FAIL
2985@Heteropterys	FAIL	FAIL	FAIL	FAIL	C-129
2100@Callaeum	1702@Callaeum	743@Mascagnia	1699@Callaeum	1699@Callaeum	S-20
1939@Diplopterys	1240@Diplopterys	S-58	1240@Diplopterys	FAIL	3606@Diplopterys
944@Tetrapterys	3423@Tetrapterys	3423@Tetrapterys	777@Christianella	FAIL	FAIL
3235@Malpighia	FAIL	FAIL	FAIL	FAIL	FAIL
746@Aspicarpa	FAIL	FAIL	FAIL	FAIL	1678@Aspicarpa
1877@Bronwenia	FAIL	FAIL	FAIL	FAIL	1944@Bronwenia
1845@Bronwenia	1860@Bronwenia	1860@Bronwenia	706@Cottsia	FAIL	1860@Bronwenia
2650@Acridocarpus	1102@Acridocarpus	1102@Acridocarpus	69@Acridocarpus	69@Acridocarpus	1102@Acridocarpus
1702@Callaeum	2100@Callaeum	1679@Callaeum	1699@Callaeum	FAIL	1699@Callaeum
1285@Aspidopterys	3341@Aspidopterys	1936@Mascagnia	4004@Triaspis	FAIL	3342@Aspidopterys
2906@Elatine	2909@Elatine	2909@Elatine	2272@Elatine	FAIL	2907@Elatine
1162@Camarea	FAIL	FAIL	FAIL	FAIL	3594@Camarea
1853@Bronwenia	1845@Bronwenia	1860@Bronwenia	S-8	FAIL	1860@Bronwenia
1699@Callaeum	2100@Callaeum	2100@Callaeum	2100@Callaeum	1702@Callaeum	1702@Callaeum
1314@Hiptage	2657@Hiptage	2657@Hiptage	3375@Hiptage	FAIL	FAIL
2647@Galphimia	3955@Byrsonima	1653@Galphimia	1717@Galphimia	1717@Galphimia	FAIL
1874@Banisteriopsis	1850@Banisteriopsis	3536@Banisteriopsis	3536@Banisteriopsis	FAIL	1946@Banisteriopsis
1653@Galphimia	FAIL	FAIL	FAIL	FAIL	FAIL
1590@Carolus	FAIL	FAIL	FAIL	FAIL	644@Carolus
1678@Aspicarpa	FAIL	FAIL	FAIL	FAIL	FAIL
168@Acridocarpus	1102@Acridocarpus	3211@Acridocarpus	170@Acridocarpus	3211@Acridocarpus	2650@Acridocarpus
1676@Aspicarpa	1678@Aspicarpa	618@Aspicarpa	746@Aspicarpa	1678@Aspicarpa	618@Aspicarpa
1703@Callaeum	FAIL	FAIL	FAIL	FAIL	1702@Callaeum
1928@Diacidia	FAIL	FAIL	FAIL	FAIL	FAIL
821@Mascagnia	743@Mascagnia	2065@Mascagnia	743@Mascagnia	3386@Malpighia	1915@Mascagnia
1582@Galphimia	2207@Galphimia	2207@Galphimia	2207@Galphimia	1717@Galphimia	FAIL
2657@Hiptage	FAIL	FAIL	FAIL	FAIL	1314@Hiptage
1174@Triaspis	3122@Triaspis	3122@Triaspis	3122@Triaspis	4004@Triaspis	3122@Triaspis
2207@Galphimia	FAIL	FAIL	FAIL	FAIL	FAIL
1176@Triaspis	3122@Triaspis	4004@Triaspis	4004@Triaspis	FAIL	4004@Triaspis
618@Aspicarpa	FAIL	FAIL	FAIL	FAIL	1678@Aspicarpa
3375@Hiptage	2657@Hiptage	1314@Hiptage	760@Hiptage	FAIL	1314@Hiptage
596@Cottsia	3356@Cottsia	706@Cottsia	706@Cottsia	FAIL	3356@Cottsia
1677@Aspicarpa	1678@Aspicarpa	1678@Aspicarpa	746@Aspicarpa	1678@Aspicarpa	1678@Aspicarpa
760@Hiptage	FAIL	FAIL	FAIL	FAIL	FAIL
1944@Bronwenia	FAIL	FAIL	FAIL	FAIL	1877@Bronwenia
1543@Carolus	1503@Hiptage	1503@Hiptage	1503@Hiptage	1503@Hiptage	FAIL
1850@Banisteriopsis	3536@Banisteriopsis	3536@Banisteriopsis	2960@Banisteriopsis	3536@Banisteriopsis	2960@Banisteriopsis
1089@Triaspis	FAIL	FAIL	FAIL	FAIL	FAIL
2279@Elatine	2909@Elatine	2909@Elatine	2909@Elatine	FAIL	2272@Elatine
1946@Banisteriopsis	FAIL	FAIL	FAIL	FAIL	1874@Banisteriopsis
1679@Callaeum	2100@Callaeum	1702@Callaeum	1702@Callaeum	1703@Callaeum	1702@Callaeum
1538@Carolus	644@Carolus	1702@Callaeum	1703@Callaeum	FAIL	1590@Carolus
S-1	S-55	S-96	S-80	FAIL	S-7
S-2	S-80	S-59	S-59	FAIL	S-3
S-3	FAIL	S-100	FAIL	FAIL	S-7
S-4	S-80	S-96	S-9	FAIL	S-7
S-5	S-80	FAIL	FAIL	FAIL	S-3
S-6	FAIL	S-99	S-80	FAIL	S-3
S-7	S-96	FAIL	S-59	FAIL	S-3
S-8	S-55	S-98	FAIL	FAIL	S-7
S-9	S-34	S-59	S-80	FAIL	S-7
S-10	FAIL	S-59	S-34	FAIL	S-7
S-11	S-34	S-100	S-13	FAIL	S-13
S-12	FAIL	FAIL	FAIL	FAIL	FAIL
S-13	S-19	S-48	S-34	FAIL	S-19
S-14	S-34	S-13	S-13	FAIL	S-92
S-15	S-34	S-20	S-13	FAIL	S-13
S-16	S-20	S-100	S-13	FAIL	S-20
S-17	S-19	S-13	S-13	FAIL	S-20
S-18	FAIL	FAIL	FAIL	FAIL	S-7
S-19	S-80	S-17	S-13	FAIL	S-13
S-20	S-87	S-13	S-13	FAIL	S-13
S-21	S-34	S-48	S-80	FAIL	S-26
S-22	S-34	S-48	S-96	FAIL	S-26
S-23	FAIL	FAIL	FAIL	FAIL	S-26
S-24	S-80	S-48	S-34	FAIL	S-23
S-25	S-80	S-48	S-27	FAIL	S-22
S-26	S-21	S-24	S-96	FAIL	S-22
S-27	S-80	S-48	S-80	FAIL	S-25
S-28	S-29	S-24	S-24	FAIL	S-25
S-29	S-80	S-21	S-80	FAIL	S-23
S-30	FAIL	FAIL	FAIL	FAIL	S-26
S-31	FAIL	FAIL	FAIL	FAIL	S-26
S-32	S-96	S-100	S-80	FAIL	S-37
S-33	FAIL	FAIL	FAIL	FAIL	S-32
S-34	S-80	S-48	S-80	S-59	S-90
S-35	FAIL	FAIL	FAIL	FAIL	S-31
S-36	S-34	S-34	S-80	FAIL	S-35
S-37	FAIL	S-48	FAIL	FAIL	S-31
S-38	S-66	S-99	S-96	FAIL	S-35
S-39	FAIL	FAIL	FAIL	FAIL	S-36
S-40	S-80	S-96	S-80	FAIL	S-37
S-41	S-80	FAIL	S-48	FAIL	S-50
S-42	S-27	S-48	S-34	S-34	S-50
S-43	FAIL	S-96	S-48	FAIL	S-48
S-44	S-34	S-96	S-47	FAIL	S-46
S-45	S-59	S-42	S-80	FAIL	S-50
S-46	S-34	S-48	FAIL	FAIL	S-48
S-47	S-34	S-58	S-34	FAIL	S-50
S-48	S-80	S-42	S-80	FAIL	S-46
S-49	S-42	S-58	S-99	FAIL	S-46
S-50	S-80	S-48	S-45	FAIL	S-48
S-51	S-34	S-45	S-34	S-59	S-60
S-52	FAIL	S-59	S-80	FAIL	S-57
S-53	S-80	S-59	S-80	FAIL	S-58
S-54	FAIL	FAIL	S-55	FAIL	S-64
S-55	S-51	S-59	S-47	FAIL	S-53
S-56	FAIL	FAIL	FAIL	FAIL	S-49
S-57	FAIL	FAIL	FAIL	FAIL	S-58
S-58	S-96	S-48	S-80	FAIL	S-53
S-59	S-80	S-51	S-47	S-34	S-58
S-60	FAIL	FAIL	FAIL	FAIL	S-19
S-61	S-34	S-48	S-87	FAIL	S-63
S-62	S-27	S-58	S-87	FAIL	FAIL
S-63	FAIL	FAIL	FAIL	FAIL	S-84
S-64	S-61	S-48	S-96	FAIL	S-63
S-65	S-88	S-69	S-80	FAIL	S-63
S-66	S-62	S-96	S-80	FAIL	S-79
S-67	S-88	S-87	S-87	FAIL	S-84
S-68	FAIL	S-69	S-87	FAIL	S-70
S-69	FAIL	S-65	FAIL	FAIL	S-79
S-70	FAIL	FAIL	FAIL	FAIL	S-63
S-71	FAIL	FAIL	FAIL	FAIL	S-76
S-72	S-80	S-48	S-80	FAIL	FAIL
S-73	S-80	S-99	S-96	FAIL	S-76
S-74	FAIL	S-99	S-80	FAIL	S-76
S-75	FAIL	FAIL	FAIL	FAIL	S-76
S-76	FAIL	S-48	S-80	FAIL	S-31
S-77	FAIL	FAIL	FAIL	FAIL	S-74
S-78	FAIL	FAIL	FAIL	FAIL	S-79
S-79	S-80	S-48	S-80	FAIL	S-71
S-80	S-34	S-48	S-34	FAIL	FAIL
S-81	S-62	S-87	FAIL	FAIL	S-84
S-82	S-87	S-58	S-89	FAIL	S-35
S-83	S-62	S-59	S-66	FAIL	S-90
S-84	S-88	S-69	S-80	FAIL	S-90
S-85	S-62	S-87	S-80	FAIL	S-90
S-86	FAIL	FAIL	FAIL	FAIL	S-90
S-87	S-34	S-48	S-34	FAIL	S-90
S-88	S-61	S-80	S-87	FAIL	S-84
S-89	FAIL	S-58	S-87	FAIL	S-86
S-90	FAIL	FAIL	FAIL	FAIL	S-83
S-91	S-99	S-96	S-96	FAIL	S-92
S-92	FAIL	S-96	FAIL	FAIL	S-3
S-93	FAIL	FAIL	FAIL	FAIL	FAIL
S-94	S-96	S-91	S-96	FAIL	S-92
S-95	S-99	S-99	S-96	FAIL	S-92
S-96	S-34	S-48	S-34	FAIL	S-92
S-97	S-96	S-96	S-96	FAIL	S-92
S-98	S-99	S-96	S-96	FAIL	S-97
S-99	S-96	S-96	S-96	FAIL	S-92
S-100	S-99	S-96	S-96	FAIL	S-92
