sp	matK	rbcL	ndhF	trnL-F	ITS	Concatenated_phylogeny
3419@Tetrapterys	3423@Tetrapterys	3676@Tetrapterys	3676@Tetrapterys	777@Christianella	1531@Amorimia	Tetrapterys
3527@Banisteriopsis	3536@Banisteriopsis	3536@Banisteriopsis	3536@Banisteriopsis	3536@Banisteriopsis	1850@Banisteriopsis	Banisteriopsis
3536@Banisteriopsis	3527@Banisteriopsis	3527@Banisteriopsis	3527@Banisteriopsis	3527@Banisteriopsis	3527@Banisteriopsis	Banisteriopsis
3545@Burdachia	3349@Burdachia	3349@Burdachia	FAIL	FAIL	3349@Burdachia	Burdachia
3606@Diplopterys	1240@Diplopterys	1860@Bronwenia	1939@Diplopterys	FAIL	1905@Diplopterys	Diplopterys
3676@Tetrapterys	2942@Tetrapterys	2942@Tetrapterys	2942@Tetrapterys	2942@Tetrapterys	2942@Tetrapterys	Tetrapterys
3935@Bunchosia	679@Bunchosia	2168@Bunchosia	2168@Bunchosia	3729@Thryallis	679@Bunchosia	Bunchosia
3955@Byrsonima	2764@Byrsonima	2764@Byrsonima	2700@Byrsonima	2764@Byrsonima	3536@Banisteriopsis	Byrsonima
3966@Diacidia	3452@Diacidia	3452@Diacidia	682@Diacidia	3452@Diacidia	3357@Diacidia	Diacidia
3970@Dicella	1716@Dicella	1716@Dicella	3431@Christianella	FAIL	1716@Dicella	Dicella
3980@Heteropterys	3301@Heteropterys	3279@Heteropterys	3279@Heteropterys	FAIL	3279@Heteropterys	Heteropterys
4004@Triaspis	1176@Triaspis	1176@Triaspis	1176@Triaspis	1176@Triaspis	1176@Triaspis	Triaspis
C-127	C-296	C-296	C-129	C-129	C-129	
C-129	C-127	C-127	C-127	C-127	C-127	
C-130	C-48	C-303	C-303	C-181	C-414	
C-136	C-21	C-21	C-21	C-265	C-21	
C-17	C-86	C-86	C-313	C-69	C-69	
C-181	C-48	C-48	C-48	C-365	C-48	
C-21	C-136	C-136	C-136	C-342	C-136	
C-227	C-40	C-40	C-40	C-40	C-40	
C-239	C-387	C-387	C-500	C-387	C-387	
C-251	C-40	C-40	C-40	C-40	C-259	
C-259	C-40	C-40	C-40	C-40	C-32	
C-263	C-64	C-136	C-265	C-21	C-64	
C-265	C-263	C-263	C-263	C-263	C-414	
C-271	C-365	C-393	C-365	C-365	C-393	
C-280	C-86	C-86	C-86	C-86	C-69	
C-296	C-127	C-127	C-127	C-127	C-127	
C-303	C-48	C-130	C-130	C-40	C-414	
C-313	C-86	C-86	C-17	C-17	C-69	
C-32	C-40	C-251	C-40	C-40	C-259	
C-342	C-136	C-136	C-136	C-21	C-21	
C-365	C-271	C-393	C-271	C-271	C-393	
C-387	C-500	C-239	C-500	C-239	C-239	
C-393	C-365	C-365	C-365	C-271	C-271	
C-40	C-259	C-259	C-259	C-259	C-259	
C-48	C-181	C-181	C-181	C-130	C-181	
C-500	C-387	C-387	C-387	C-387	C-387	
C-64	C-263	C-263	C-265	C-263	C-414	
C-69	C-86	C-86	C-17	C-17	C-17	
C-86	C-313	C-17	C-17	C-313	C-69	
